0	0
0.002	0
0.005	0
0.01	0
0.02	0
0.03	0.00005
0.04	0.00005
0.05	0.00005
0.06	0.00005
0.07	0.00005
0.08	0.00005
0.09	0.00005
0.1	0.00005
0.11	0.00005
0.12	0
0.13	0
0.14	0
0.15	0
0.16	0
0.17	0
0.18	0
0.19	0
0.2	0
0.21	0
0.22	0
0.23	-0.00005
0.24	-0.00005
0.25	-0.0001
0.26	-0.0001
0.27	-0.0001
0.28	-0.0001
0.29	-0.0001
0.3	-0.0001
0.31	-0.0001
0.32	-0.00005
0.33	-0.00005
0.34	0
0.35	0
0.36	0.00005
0.37	0.0001
0.38	0.00015
0.39	0.0002
0.4	0.0003
0.41	0.00035
0.42	0.00045
0.43	0.00055
0.44	0.0007
0.45	0.0008
0.46	0.00095
0.47	0.0011
0.48	0.00125
0.49	0.00145
0.5	0.0017
0.51	0.00195
0.52	0.00225
0.53	0.0026
0.54	0.00295
0.55	0.00335
0.56	0.0038
0.57	0.00425
0.58	0.00475
0.59	0.0053
0.6	0.00585
0.61	0.00645
0.62	0.007
0.63	0.0076
0.64	0.0082
0.65	0.0088
0.66	0.0094
0.67	0.00995
0.68	0.01055
0.69	0.0111
0.7	0.01165
0.71	0.01215
0.72	0.01265
0.73	0.0131
0.74	0.01355
0.75	0.01395
0.76	0.01425
0.77	0.01455
0.78	0.01475
0.79	0.0149
0.8	0.01495
0.81	0.01485
0.82	0.0147
0.83	0.01445
0.84	0.01405
0.85	0.01355
0.86	0.0129
0.87	0.0121
0.88	0.0112
0.89	0.01015
0.9	0.0089
0.91	0.0075
0.92	0.006
0.93	0.0043
0.94	0.0024
0.95	0.0003
0.96	-0.002
0.97	-0.00445
0.98	-0.0071
0.99	-0.00995
1	-0.013
